IATA_CODE,AIRPORT,CITY,STATE_CODE_AIRPORT,COUNTRY_AIRPORT,LATITUDE_AIRPORT,LONGITUDE_AIRPORT,STATION,STATION_DISTANCE,TMAX,TMIN,PRCP,SNOW,TOTAL,LATITUDE_STATION,LONGITUDE_STATION,STATE_CODE,NAME_STATION,COUNTRY_STATION,AIRPORT_STATION_DUMMY
SDF,Louisville International Airport-á(Standiford Field),Louisville,KY,USA,38.17439,-85.736,USW00093821,0.798,0,0,0,0,0,38.1811,-85.7392,KY,LOUISVILLE INTL AP,United States,TRUE
SEA,Seattle-Tacoma International Airport,Seattle,WA,USA,47.44898,-122.30931,USW00024233,0.616,0,0,0,0,0,47.4444,-122.3139,WA,SEATTLE TACOMA INTL AP,United States,TRUE
SFO,San Francisco International Airport,San Francisco,CA,USA,37.619,-122.37484,USW00023234,0.897,0,0,0,365,365,37.6197,-122.3647,CA,SAN FRANCISCO INTL AP,United States,TRUE
SGF,Springfield-Branson National Airport,Springfield,MO,USA,37.24433,-93.38686,USW00013995,1.559,0,0,0,0,0,37.2353,-93.4003,MO,SPRINGFIELD,United States,FALSE
SGU,St. George Regional Airport,St George,UT,USA,37.09058,-113.59306,USC00427516,3.377,1,0,0,0,1,37.1189,-113.6067,UT,ST GEORGE,United States,FALSE
SHV,Shreveport Regional Airport,Shreveport,LA,USA,32.44663,-93.8256,USW00013957,1.522,0,0,0,0,0,32.4506,-93.8411,LA,SHREVEPORT,United States,FALSE
SIT,Sitka Rocky Gutierrez Airport,Sitka,AK,USA,57.04714,-135.3616,USW00025333,0.216,1,1,0,358,360,57.0481,-135.3647,AK,SITKA AIRPORT,United States,TRUE
SJC,Norman Y. Mineta San Jos+® International Airport,San Jose,CA,USA,37.36186,-121.92901,USW00023293,0.54,0,0,0,365,365,37.3592,-121.9239,CA,SAN JOSE,United States,FALSE
SJT,San Angelo Regional Airport-á(Mathis Field),San Angelo,TX,USA,31.35775,-100.49631,USC00417944,1.464,0,0,0,0,0,31.3708,-100.4944,TX,SAN ANGELO WFO,United States,FALSE
SJU,Luis Mu+¦oz Mar+¡n International Airport,San Juan,PR,USA,18.43942,-66.00183,RQW00011641,1.221,0,0,0,1,1,18.4325,-66.0108,PR,SAN JUAN L M MARIN AP,Puerto Rico [United States],TRUE
SLC,Salt Lake City International Airport,Salt Lake City,UT,USA,40.78839,-111.97777,USW00024127,1.345,0,0,0,0,0,40.7781,-111.9694,UT,SALT LAKE CITY INTL AP,United States,TRUE
SMF,Sacramento International Airport,Sacramento,CA,USA,38.69542,-121.59077,USW00093225,0.095,0,0,0,365,365,38.6956,-121.5897,CA,SACRAMENTO METRO AP,United States,TRUE
SMX,Santa Maria Public Airport-á(Capt G. Allan Hancock Field),Santa Maria,CA,USA,34.89925,-120.45758,USW00023273,0.82,0,0,0,365,365,34.8994,-120.4486,CA,SANTA MARIA PUBLIC AP,United States,TRUE
SNA,John Wayne Airport-á(Orange County Airport),Santa Ana,CA,USA,33.67566,-117.86822,USW00093184,0.512,0,0,0,7,7,33.68,-117.8664,CA,SANTA ANA JOHN WAYNE AP,United States,TRUE
SPI,Abraham Lincoln Capital Airport,Springfield,IL,USA,39.84395,-89.67762,USW00093822,0.543,0,0,0,0,0,39.8447,-89.6839,IL,SPRINGFIELD CAPITAL AP,United States,TRUE
SPS,Wichita Falls Municipal Airport/Sheppard AFB,Wichita Falls,TX,USA,33.9888,-98.49189,USW00013966,1.139,0,0,0,0,0,33.9786,-98.4928,TX,WICHITA FALLS MUNI AP,United States,TRUE
SRQ,Sarasota-Bradenton International Airport,Sarasota,FL,USA,27.39533,-82.55411,USW00012871,0.808,0,0,0,0,0,27.4014,-82.5586,FL,SARASOTA BRADENTON AP,United States,TRUE
STC,St. Cloud Regional Airport,St Cloud,MN,USA,45.54532,-94.05834,USW00014926,0.586,0,0,0,0,0,45.5433,-94.0514,MN,ST CLOUD RGNL AP,United States,TRUE
STL,St. Louis International Airport at Lambert Field,St Louis,MO,USA,38.74769,-90.35999,US1MOFSA189,1.2,362,362,0,117,841,38.7425,-90.3721,MO,EDMUNDSON 0.7 NNW,United States,FALSE
STT,Cyril E. King Airport,Charlotte Amalie,VI,USA,18.33731,-64.97336,VQW00011640,0.846,1,1,0,365,367,18.3331,-64.9667,VI,CHARLOTTE AMALIE AP,Virgin Islands [United States],TRUE
STX,Henry E. Rohlsen Airport,Christiansted,VI,USA,17.70189,-64.79856,VQW00011624,0.753,0,0,1,365,366,17.7028,-64.8056,VI,CHRISTIANSTED AP,Virgin Islands [United States],TRUE
SUN,Friedman Memorial Airport,Hailey,ID,USA,43.50484,-114.29659,USC00100774,5.259,3,1,12,7,23,43.4669,-114.2578,ID,BELLEVUE,United States,FALSE
SUX,Sioux Gateway Airport,Sioux City,IA,USA,42.4026,-96.38437,USC00137702,0.876,2,4,0,0,6,42.3964,-96.3778,IA,SIOUX CITY ANG,United States,FALSE
SWF,Stewart International Airport,Newburgh,NY,USA,41.50409,-74.10484,US1NYOR0002,9.432,83,83,3,46,215,41.4469,-74.0214,NY,CORNWALL ON HUDSON 0.6 NNW,United States,FALSE
SYR,Syracuse Hancock International Airport,Syracuse,NY,USA,43.11119,-76.10631,USW00014771,0.196,0,0,0,0,0,43.1111,-76.1039,NY,SYRACUSE HANCOCK INTL AP,United States,TRUE
TLH,Tallahassee International Airport,Tallahassee,FL,USA,30.39653,-84.35033,USC00088756,0.508,9,1,0,0,10,30.3961,-84.3556,FL,TALLAHASSEE AP,United States,TRUE
TOL,Toledo Express Airport,Toledo,OH,USA,41.58681,-83.80783,USW00094830,0.571,0,0,0,0,0,41.5886,-83.8014,OH,TOLEDO EXPRESS AP,United States,TRUE
TPA,Tampa International Airport,Tampa,FL,USA,27.97547,-82.53325,USW00012842,1.662,0,0,0,0,0,27.9619,-82.5403,FL,TAMPA INTL AP,United States,TRUE
TRI,Tri-Cities Regional Airport,Bristol,TN,USA,36.47521,-82.40742,USW00013877,0.358,0,0,0,0,0,36.4731,-82.4044,TN,BRISTOL TRI CITY AP,United States,TRUE
TTN,Trenton Mercer Airport,Trenton,NJ,USA,40.27669,-74.81347,USW00014792,0.199,0,0,0,365,365,40.2769,-74.8158,NJ,TRENTON MERCER CO AP,United States,TRUE
TUL,Tulsa International Airport,Tulsa,OK,USA,36.19837,-95.88824,USW00013968,0.148,0,0,0,0,0,36.1994,-95.8872,OK,TULSA INTL AP,United States,TRUE
TUS,Tucson International Airport,Tucson,AZ,USA,32.11608,-110.94103,USW00023160,2.172,0,0,0,0,0,32.1314,-110.9553,AZ,TUCSON INTL AP,United States,TRUE
TVC,Cherry Capital Airport,Traverse City,MI,USA,44.74144,-85.58224,USW00014850,0.074,0,0,0,364,364,44.7408,-85.5825,MI,TRAVERSE CITY CHERRY CPTL A,United States,FALSE
TWF,Magic Valley Regional Airport-á(Joslin Field),Twin Falls,ID,USA,42.4818,-114.48774,USW00094178,0.07,0,0,0,365,365,42.4819,-114.4869,ID,TWIN FALLS SUN VLY RGNL AP,United States,TRUE
TXK,Texarkana Regional Airport-á(Webb Field),Texarkana,AR,USA,33.45371,-93.99102,USW00013977,1.531,0,0,0,365,365,33.4536,-94.0075,AR,TEXARKANA WEBB FLD,United States,FALSE
TYR,Tyler Pounds Regional Airport,Tyler,TX,USA,32.35414,-95.40239,USW00013972,0.012,0,0,0,365,365,32.3542,-95.4025,TX,TYLER POUNDS FLD,United States,FALSE
TYS,McGhee Tyson Airport,Knoxville,TN,USA,35.81249,-83.99286,USW00013891,0.892,0,0,0,0,0,35.8181,-83.9858,TN,KNOXVILLE MCGHEE TYSON AP,United States,TRUE
VEL,Valdez Airport,Vernal,UT,USA,40.4409,-109.50992,USW00094030,0.406,0,0,0,365,365,40.4422,-109.5144,UT,VERNAL MUNICIPAL AP,United States,TRUE
VLD,Valdosta Regional Airport,Valdosta,GA,USA,30.7825,-83.27672,USW00093845,0.002,0,0,1,7,8,30.7825,-83.2767,GA,VALDOSTA RGNL AP,United States,TRUE
VPS,Destin-Fort Walton Beach Airport/Eglin AFB,Valparaiso,FL,USA,30.48325,-86.5254,US1FLOK0002,5.568,361,361,0,139,861,30.5244,-86.4924,FL,EGLIN AFB 5.6 NE,United States,FALSE
WRG,Wrangell Airport,Wrangell,AK,USA,56.48433,-132.36982,USR0000AZAR,35.935,0,0,252,252,504,56.3,-132.8486,AK,ZAREMBO ALASKA,United States,FALSE
WYS,Westerly State Airport,West Yellowstone,MT,USA,44.6884,-111.11764,USR0000MHEB,2.66,0,0,365,365,730,44.6678,-111.1006,MT,HEBGEN LAKE MONTANA,United States,FALSE
XNA,Northwest Arkansas Regional Airport,Fayetteville/Springdale/Rogers,AR,USA,36.28187,-94.30681,USW00053922,0.631,5,5,0,80,90,36.2833,-94.3,AR,FAYETTEVILLE NW AR AP,United States,TRUE
YAK,Yakutat Airport,Yakutat,AK,USA,59.50336,-139.66023,USW00025339,1.132,0,0,0,0,0,59.5119,-139.6711,AK,YAKUTAT STATE AP,United States,TRUE
YUM,Yuma International Airport,Yuma,AZ,USA,32.65658,-114.60597,USW00003145,1.244,12,12,1,4,29,32.65,-114.6167,AZ,YUMA MCAS,United States,FALSE
