IATA_CODE,AIRPORT,CITY,STATE_CODE_AIRPORT,COUNTRY_AIRPORT,LATITUDE_AIRPORT,LONGITUDE_AIRPORT,STATION,STATION_DISTANCE,TMAX,TMIN,PRCP,SNOW,TOTAL,LATITUDE_STATION,LONGITUDE_STATION,STATE_CODE,NAME_STATION,COUNTRY_STATION,AIRPORT_STATION_DUMMY
KOA,Kona International Airport at Keahole,Kailua/Kona,HI,USA,19.73877,-156.04563,USW00021510,0.492,1,0,0,20,21,19.7356,-156.0489,HI,KAILUA KONA KE-AHOLE AP,United States,TRUE
KTN,Ketchikan International Airport,Ketchikan,AK,USA,55.35557,-131.71374,USW00025325,0.18,0,0,0,365,365,55.3567,-131.7117,AK,KETCHIKAN INTL AP,United States,TRUE
LAN,Capital Region International Airport-á( Lansing Capital City),Lansing,MI,USA,42.7787,-84.58736,USW00014836,0.714,0,0,1,0,1,42.7803,-84.5789,MI,LANSING CAPITAL CITY AP,United States,TRUE
LAR,Laramie Regional Airport,Laramie,WY,USA,41.31205,-105.67499,USW00024022,0.029,0,0,0,365,365,41.3119,-105.6747,WY,LARAMIE RGNL AP,United States,TRUE
LAS,McCarran International Airport,Las Vegas,NV,USA,36.08036,-115.15233,USW00023169,1.364,0,0,0,0,0,36.0719,-115.1633,NV,LAS VEGAS MCCARRAN AP,United States,TRUE
LAW,Lawton-Fort Sill Regional Airport,Lawton,OK,USA,34.56771,-98.41664,USW00003950,1.049,0,0,0,365,365,34.5583,-98.4172,OK,LAWTON MUNI AP,United States,TRUE
LAX,Los Angeles International Airport,Los Angeles,CA,USA,33.94254,-118.40807,USW00023174,1.838,0,0,0,365,365,33.9381,-118.3889,CA,LOS ANGELES INTL AP,United States,TRUE
LBB,Lubbock Preston Smith International Airport,Lubbock,TX,USA,33.66364,-101.82278,US1TXLK0022,0.245,313,313,0,96,722,33.6658,-101.8233,TX,LUBBOCK INTERNATIONAL,United States,FALSE
LBE,Arnold Palmer Regional Airport,Latrobe,PA,USA,40.27594,-79.4048,US1PAWT0002,4.958,295,295,0,113,703,40.3189,-79.3894,PA,LATROBE 0.6 NW,United States,FALSE
LCH,Lake Charles Regional Airport,Lake Charles,LA,USA,30.1261,-93.2234,USW00003937,0.742,0,0,0,365,365,30.125,-93.2158,LA,LAKE CHARLES,United States,FALSE
LEX,Blue Grass Airport,Lexington,KY,USA,38.03697,-84.60539,USW00093820,0.428,0,0,0,0,0,38.0408,-84.6058,KY,LEXINGTON BLUEGRASS AP,United States,TRUE
LFT,Lafayette Regional Airport,Lafayette,LA,USA,30.20528,-91.98766,USW00013976,0.035,0,0,1,365,366,30.205,-91.9875,LA,LAFAYETTE RGNL AP,United States,TRUE
LGA,LaGuardia Airport (Marine Air Terminal),New York,NY,USA,40.77724,-73.87261,USW00014732,0.691,0,0,0,0,0,40.7794,-73.8803,NY,NEW YORK LAGUARDIA AP,United States,TRUE
LGB,Long Beach Airport-á(Daugherty Field),Long Beach,CA,USA,33.81772,-118.15161,USW00023129,0.825,0,0,0,365,365,33.8117,-118.1464,CA,LONG BEACH DAUGHERTY FLD,United States,FALSE
LIH,Lihue Airport,Lihue,HI,USA,21.97598,-159.33896,USW00022536,0.896,0,0,0,335,335,21.9839,-159.3405,HI,LIHUE WSO AP 1020.1,United States,FALSE
LIT,Bill and Hillary Clinton National Airport-á(Adams Field),Little Rock,AR,USA,34.7294,-92.22425,USW00013963,1.363,0,0,0,0,0,34.7272,-92.2389,AR,LITTLE ROCK AP ADAMS FLD,United States,FALSE
LNK,Lincoln Airport-á(Lincoln Municipal),Lincoln,NE,USA,40.85097,-96.75925,USW00014939,0.99,0,0,0,0,0,40.8508,-96.7475,NE,LINCOLN MUNI AP,United States,TRUE
LRD,Laredo International Airport,Laredo,TX,USA,27.54374,-99.46154,USW00012907,1.269,0,0,0,2,2,27.5333,-99.4667,TX,LAREDO AFB,United States,FALSE
LSE,La Crosse Regional Airport,La Crosse,WI,USA,43.87938,-91.25654,USW00014920,0.305,0,0,0,0,0,43.8789,-91.2528,WI,LA CROSSE MUNI AP,United States,TRUE
LWS,Lewiston-Nez Perce County Airport,Lewiston,ID,USA,46.3745,-117.01539,USW00024149,0.027,0,0,0,0,0,46.3747,-117.0156,ID,LEWISTON NEZ PERCE CO AP,United States,TRUE
MAF,Midland International Airport,Midland,TX,USA,31.94253,-102.20191,USW00023023,1.232,0,0,0,0,0,31.9433,-102.1889,TX,MIDLAND ODESSA,United States,FALSE
MBS,MBS International Airport,Saginaw,MI,USA,43.53291,-84.07965,USW00014845,0.022,0,0,0,1,1,43.5331,-84.0797,MI,SAGINAW MBS INTL AP,United States,TRUE
MCI,Kansas City International Airport,Kansas City,MO,USA,39.29761,-94.71391,USW00003947,1.439,0,0,0,0,0,39.2972,-94.7306,MO,KANSAS CITY INTL AP,United States,TRUE
MCO,Orlando International Airport,Orlando,FL,USA,28.42889,-81.31603,USW00012815,1.04,0,0,0,0,0,28.4339,-81.325,FL,ORLANDO INTL AP,United States,TRUE
MDT,Harrisburg International Airport,Harrisburg,PA,USA,40.1935,-76.7634,USW00014711,0.014,0,0,0,0,0,40.1936,-76.7633,PA,MIDDLETOWN HARRISBURG INTL,United States,FALSE
MDW,Chicago Midway International Airport,Chicago,IL,USA,41.78598,-87.75242,USW00014819,0.023,0,0,1,365,366,41.7861,-87.7522,IL,CHICAGO MIDWAY AP,United States,TRUE
MEI,Meridian Regional Airport,Meridian,MS,USA,32.33313,-88.75121,USW00013865,0.682,0,0,0,365,365,32.3347,-88.7442,MS,MERIDIAN KEY FLD,United States,FALSE
MEM,Memphis International Airport,Memphis,TN,USA,35.04242,-89.97667,USW00013893,1.791,0,0,0,0,0,35.0564,-89.9864,TN,MEMPHIS INTL AP,United States,TRUE
MFE,McAllen-Miller International Airport-á(McAllen Miller International),McAllen,TX,USA,26.17583,-98.23861,USW00012959,1.772,0,0,0,365,365,26.1839,-98.2539,TX,MCALLEN MILLER INTL AP,United States,TRUE
MFR,Rogue Valley International Airport,Medford,OR,USA,42.37423,-122.8735,USW00024225,0.772,0,0,0,0,0,42.3811,-122.8722,OR,MEDFORD ROGUE VLY AP,United States,TRUE
MGM,Montgomery Regional Airport,Montgomery,AL,USA,32.30064,-86.39398,USW00013895,1.276,1,1,0,365,367,32.2997,-86.4075,AL,MONTGOMERY AP,United States,TRUE
MHK,Manhattan Regional Airport,Manhattan,KS,USA,39.14097,-96.67083,USW00003936,0.872,0,0,0,365,365,39.1353,-96.6778,KS,MANHATTAN MUNI AP,United States,TRUE
MHT,Manchester-Boston Regional Airport,Manchester,NH,USA,42.93452,-71.43706,USW00014710,0.169,0,0,0,94,94,42.9333,-71.4383,NH,MANCHESTER AP,United States,TRUE
MIA,Miami International Airport,Miami,FL,USA,25.79325,-80.29056,USW00012839,2.607,0,0,0,365,365,25.7906,-80.3164,FL,MIAMI INTL AP,United States,TRUE
MKE,General Mitchell International Airport,Milwaukee,WI,USA,42.94722,-87.89658,USW00014839,1.075,0,0,0,0,0,42.955,-87.9044,WI,MILWAUKEE MITCHELL AP,United States,TRUE
MKG,Muskegon County Airport,Muskegon,MI,USA,43.16949,-86.23822,USW00014840,0.218,0,0,0,0,0,43.1711,-86.2367,MI,MUSKEGON CO AP,United States,TRUE
MLB,Melbourne International Airport,Melbourne,FL,USA,28.10275,-80.64581,USW00012838,0.263,0,0,0,365,365,28.1011,-80.6439,FL,MELBOURNE INTL AP,United States,TRUE
MLI,Quad City International Airport,Moline,IL,USA,41.44853,-90.50754,USW00014923,2.283,0,0,0,0,0,41.4653,-90.5233,IL,MOLINE QUAD CITY INTL AP,United States,TRUE
MLU,Monroe Regional Airport,Monroe,LA,USA,32.51087,-92.03769,USW00013942,0.593,0,0,0,365,365,32.5156,-92.0406,LA,MONROE RGNL AP,United States,TRUE
MMH,Mammoth Yosemite Airport,Mammoth Lakes,CA,USA,37.62405,-118.83777,USC00045280,11.24,0,0,0,0,0,37.6478,-118.9617,CA,MAMMOTH LAKES RS,United States,FALSE
MOB,Mobile Regional Airport,Mobile,AL,USA,30.69142,-88.24283,USW00013894,1.371,0,0,0,0,0,30.6794,-88.2397,AL,MOBILE,United States,FALSE
MOT,Minot International Airport,Minot,ND,USA,48.25938,-101.28033,USW00024013,0.691,0,0,0,336,336,48.2553,-101.2733,ND,MINOT INTL AP,United States,TRUE
MQT,Sawyer International Airport,Marquette,MI,USA,46.35364,-87.39536,USC00204425,2.55,1,1,0,0,2,46.3342,-87.3778,MI,KI SAWYER WWTP,United States,FALSE
MRY,Monterey Regional Airport-á(Monterey Peninsula Airport),Monterey,CA,USA,36.58698,-121.84295,USW00023259,0.244,3,2,0,19,24,36.5881,-121.8453,CA,MONTEREY PENINSUL AP,United States,TRUE
MSN,Dane County Regional Airport,Madison,WI,USA,43.13986,-89.33751,USW00014837,0.638,0,0,0,0,0,43.1406,-89.3453,WI,MADISON DANE RGNL AP,United States,TRUE
MSO,Missoula International Airport,Missoula,MT,USA,46.91631,-114.09056,USW00024153,0.521,0,0,0,0,0,46.9208,-114.0925,MT,MISSOULA INTL AP,United States,TRUE
MSP,Minneapolis-Saint Paul International Airport,Minneapolis,MN,USA,44.88055,-93.21692,USW00014922,0.987,0,0,0,0,0,44.8831,-93.2289,MN,MINNEAPOLIS/ST PAUL AP,United States,TRUE
MSY,Louis Armstrong New Orleans International Airport,New Orleans,LA,USA,29.99339,-90.25803,USW00012916,0.668,0,0,0,365,365,29.9933,-90.2511,LA,NEW ORLEANS INTL AP,United States,TRUE
MTJ,Montrose Regional Airport,Montrose,CO,USA,38.50887,-107.89383,USW00093013,0.536,0,0,0,365,365,38.505,-107.8975,CO,MONTROSE RGNL AP,United States,TRUE
MVY,Martha's Vineyard Airport,Marthas Vineyard,MA,USA,41.39303,-70.61433,USW00094724,0.056,11,11,0,365,387,41.3931,-70.615,MA,VINEYARD HAVEN AP,United States,TRUE
MYR,Myrtle Beach International Airport,Myrtle Beach,SC,USA,33.67975,-78.92833,US1SCHR0073,4.683,352,352,0,150,854,33.6446,-78.9561,SC,MYRTLE BEACH 5.2 SW,United States,FALSE
OAJ,Albert J. Ellis Airport,Jacksonville,NC,USA,34.82916,-77.61214,US1NCON0067,2.434,228,228,0,123,579,34.8293,-77.5855,NC,RICHLANDS 5.3 SSW,United States,FALSE
OAK,Oakland International Airport,Oakland,CA,USA,37.72129,-122.22072,USW00023230,0.014,0,0,0,18,18,37.7214,-122.2208,CA,OAKLAND METRO INTL AP,United States,TRUE
OGG,Kahului Airport,Kahului,HI,USA,20.89865,-156.43046,USW00022516,0.226,0,0,0,365,365,20.8997,-156.4286,HI,KAHULUI AP,United States,TRUE
OKC,Will Rogers World Airport,Oklahoma City,OK,USA,35.39309,-97.60073,USW00013967,0.467,0,0,0,0,0,35.3889,-97.6006,OK,OKLAHOMA CITY WILL ROGERS A,United States,FALSE
OMA,Eppley Airfield,Omaha,NE,USA,41.30252,-95.89417,USW00014942,0.963,0,0,0,0,0,41.3103,-95.8992,NE,OMAHA EPPLEY AIRFIELD,United States,FALSE
OME,Nome Airport,Nome,AK,USA,64.5122,-165.44525,USW00026617,0.28,0,0,0,0,0,64.5111,-165.44,AK,NOME MUNI AP,United States,TRUE
ONT,Ontario International Airport,Ontario,CA,USA,34.056,-117.60119,USW00003102,0.083,0,0,0,23,23,34.0561,-117.6003,CA,ONTARIO INTL AP,United States,TRUE
ORD,Chicago O'Hare International Airport,Chicago,IL,USA,41.9796,-87.90446,USW00094846,2.958,0,0,0,0,0,41.995,-87.9336,IL,CHICAGO OHARE INTL AP,United States,TRUE
ORF,Norfolk International Airport,Norfolk,VA,USA,36.89461,-76.20122,USW00013737,1.257,0,0,0,0,0,36.9033,-76.1922,VA,NORFOLK INTL AP,United States,TRUE
ORH,Worcester Regional Airport,Worcester,MA,USA,42.26734,-71.87571,USW00094746,0.422,0,0,0,0,0,42.2706,-71.8731,MA,WORCESTER RGNL AP,United States,TRUE
OTH,Southwest Oregon Regional Airport-á(North Bend Municipal),North Bend,OR,USA,43.41714,-124.24603,USW00024284,0.47,0,1,4,365,370,43.4133,-124.2436,OR,NORTH BEND RGNL AP,United States,TRUE
OTZ,Ralph Wien Memorial Airport,Kotzebue,AK,USA,66.88468,-162.59855,USW00026616,2.513,0,0,0,0,0,66.8667,-162.6333,AK,KOTZEBUE RALPH WEIN AP,United States,TRUE
PAH,Barkley Regional Airport,Paducah,KY,USA,37.06083,-88.77375,USC00158555,0.839,0,0,0,1,1,37.0683,-88.7725,KY,W PADUCAH 2W,United States,FALSE
PBI,Palm Beach International Airport,West Palm Beach,FL,USA,26.68316,-80.09559,USW00012844,0.416,0,0,0,334,334,26.6847,-80.0994,FL,WEST PALM BEACH INTL AP,United States,TRUE
PDX,Portland International Airport,Portland,OR,USA,45.58872,-122.5975,USW00024229,0.318,0,0,0,365,365,45.5908,-122.6003,OR,PORTLAND INTL AP,United States,TRUE
PHF,Newport News/Williamsburg International Airport,Newport News,VA,USA,37.1319,-76.49299,USW00093741,0.001,0,0,3,365,368,37.1319,-76.493,VA,NEWPORT NEWS INTL AP,United States,TRUE
PHL,Philadelphia International Airport,Philadelphia,PA,USA,39.87195,-75.24114,USW00013739,0.949,0,0,0,0,0,39.8683,-75.2311,PA,PHILADELPHIA INTL AP,United States,TRUE
PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,USA,33.43417,-112.00806,USW00023183,0.808,0,0,0,365,365,33.4278,-112.0039,AZ,PHOENIX SKY HARBOR INTL AP,United States,TRUE
PIA,General Wayne A. Downing Peoria International Airport,Peoria,IL,USA,40.66424,-89.69331,USW00014842,0.874,0,0,0,0,0,40.6675,-89.6839,IL,PEORIA GTR PEORIA AP,United States,TRUE
PIB,Hattiesburg-Laurel Regional Airport,Hattiesburg-Laurel,MS,USA,31.46715,-89.33706,US1MSFR0009,5.649,307,307,0,116,730,31.4167,-89.3306,MS,HATTIESBURG 7.3 N,United States,FALSE
PIH,Pocatello Regional Airport,Pocatello,ID,USA,42.91131,-112.59586,USW00024156,2.253,0,0,0,0,0,42.9203,-112.5711,ID,POCATELLO RGNL AP,United States,TRUE
PIT,Pittsburgh International Airport,Pittsburgh,PA,USA,40.49147,-80.23287,USW00094823,1.736,0,0,0,0,0,40.4847,-80.2144,PA,PITTSBURGH INTL AP,United States,TRUE
PLN,Pellston Regional Airport of Emmet County,Pellston,MI,USA,45.57093,-84.79672,USW00014841,0.788,0,0,0,365,365,45.5644,-84.7928,MI,PELLSTON RGNL AP,United States,TRUE
PNS,Pensacola International Airport-á(Pensacola Gulf Coast Regional Airport),Pensacola,FL,USA,30.47331,-87.18744,USW00013899,0.536,0,0,0,365,365,30.4781,-87.1869,FL,PENSACOLA RGNL AP,United States,TRUE
PPG,Pago Pago International Airport (Tafuna Airport),Pago Pago,AS,USA,14.33102,-170.71053,AQW00061705,0.334,0,0,0,1,1,-14.3306,-170.7136,AS,PAGO PAGO WSO AP,American Samoa [United States],TRUE
